story_id,owning_issue,acceptance_criterion,check_id,evidence_locator,release_applicability,required_result
1,#17,AC35-1,LIVE-01,live-run/domain-record,exact-frozen-release,pass
2,#17,AC35-1,LIVE-01,live-run/domain-record,exact-frozen-release,pass
3,#18,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
4,#18,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
5,#18,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
6,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
7,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
8,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
9,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
10,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
11,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
12,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
13,#19,AC35-2,S01-SHAPING,ShapingFlowTest,exact-frozen-release,pass
14,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
15,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
16,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
17,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
18,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
19,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
20,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
21,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
22,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
23,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
24,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
25,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
26,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
27,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
28,#20,AC35-1,LIVE-01,Mission review record,exact-frozen-release,pass
29,#21,AC35-5,B07-INVITATION,InvitationFlowTest,exact-frozen-release,pass
30,#21,AC35-5,B07-INVITATION,InvitationFlowTest,exact-frozen-release,pass
31,#21,AC35-5,B07-INVITATION,InvitationFlowTest,exact-frozen-release,pass
32,#21,AC35-5,B07-INVITATION,InvitationFlowTest,exact-frozen-release,pass
33,#21,AC35-5,B07-INVITATION,InvitationFlowTest,exact-frozen-release,pass
